Bezeichnung / Feldgeräte,Beschreibung
T23-34EPDM10,EPDM Dichtungen 3/4'' (10 Stk.)
T23-E1,"Einbausatz 1"", EPDM Dichtungen"
T23-E34,"Einbausatz 3/4"", EPDM Dichtungen"
T23-WA,"Wandhalterung für WSM5../WSB5.., 10 Stk."
TA GSM DUAL 2M,Tisch Antenne GSM Dual 2m
TKM2,Temperaturwächter Luftkanal 20..110°C
TRAFO 24VAC-1.6A,TRAFO 40VA
TRAFO100VA,"Transformator 100VA, 230/24V"
TRAFO1232VA,"TRANSFORMATOR 1232VA, 400V,"
TRAFO250VA,Transformator 250VA
TRAFO422VA,Transformator 422VA
TRAFO772VA,Transformator 772VA
TRG2,Raumthermostat -5..50°C Industrie
TRG22,"Raumthermostat,-5..50°C,SD2 Industrie"
TXA1.5K120,"Adressstecker 5,10,..,120"
TXA1.IBE,Inselbus-Erweiterungsmodul
TXA1.K12,Adressstecker 1-12
TXA1.K-120,Adressstecker K120 TX-I/O
TXA1.K24,Adressstecker 1-24
TXA1.K-48,"Adressstecker 25-48,"
TXA1.K-72,"Adressstecker 49,72"
TXA1.K-96,Adressstecker K96 TX-I/O
TXI2.OPEN,TX-Open Version 2
TXI2-S.OPEN,TXI2-S.OPEN TX Open Modul
TXM1.16D,"DI-Kontakt, Impuls, Zähler"
TXM1.6R,"DO-Potfrei US 230 VAC, 3A universal"
TXM1.6RL,I/O Module 6 bistabile Relais
TXM1.6R-M,"DO-Potfrei US 230 VAC, 3A universal, MAN"
TXM1.8D,8 I/O Digital Eingänge
TXM1.8P,IO Modul PT100
TXM1.8RB,Relaismodul für Jalousiensteuerung
TXM1.8T,I/O Module 8 Triac
TXM1.8U,I/O Modul 8 universell
TXM1.8U-ML,I/O Modul 8 unvers. Man.Bedienung
TXM1.8X,I/O Modul 8 univ.4..20mA
TXM1.8X-ML,"I/O Modul 8 univ.4..20mA, man. Bedienung"
TXS1.12F10,Speisungsmodul für TX-I/O-Module
TXS1.EF10,Busanschlussmodul
UA1T-P,"Leistungsverst. AC24V,PDM,DIN-Hutschiene"
UC50-500-OF,"Rechenwerk Wärme, Wasser/Glykol,Rücklauf"
UC50-700-OF,"Rechenwerk Kälte, Wasser/Glykol,Rücklauf"
UC50-D00-OF,"DURCHFLUSSMESSER, WASSER"
UC50-L00-OF,"Rechenwerk Wärme, Wasser, Rücklauf"
UC50-T00-OF,"Rechenwerk Kälte, Wasser, Rücklauf"
UH50-A05-00,"Wärmezähler 0,6m3/h, G3/4"", 110mm"
UH50-A07-OF,"Wärmezähler 0,6m3/h, G1"", 190 mm"
UH50-A21-00,"Wärmezähler 1.5m3/h, 3/4"", 110 mm"
UH50-A21-OF,"Wärmezähler 1.5m3/h, 3/4"
UH50-A23-00,"Wärmezähler 1.5m3/h, 1"", 190 mm"
UH50-A23-OF,"Wärmezähler 1.5m3/h, 1"
UH50-A24-OF,"Wärmezähler 1.5m3/h, DN20, 190 mm"
UH50-A36-00,"Wärmezähler 2.5m3/h, 1"", 130 mm"
UH50-A36-OF,"Wärmezähler 2.5m3/h, 1"
UH50-A38-00,"Wärmezähler 2.5m3/h, 1"", 190 mm"
UH50-A38-OF,"Wärmezähler 2.5m3/h, 1"
UH50-A39-OF,"Wärmezähler 2.5m3/h, DN20, 190 mm"
UH50-A45-00,"Wärmezähler 3.5m3/h, 11/4"", 260 mm"
UH50-A45-OF,"Wärmezähler 3.5m3/h, 11/4"
UH50-A46-OF,"Wärmezähler 3.5m3/h, DN25, 260 mm"
UH50-A50-00,"Wärmezähler 6m3/h, 11/4"", 260 mm"
UH50-A50-OF,"Wärmezähler 6m3/h, 11/4"
UH50-A52-OF,"Wärmezähler 6m3/h, DN25, 260 mm"
UH50-A55-OF,"Wärmezähler 6m3/h, 11/4"
UH50-A60-00,"LYU:UH50-A60-00 /WÄRMEZÄHLER 10M3/H, 2''"
UH50-A60-OF,"Wärmezähler 10m3/h, 2"", 300 mm"
UH50-A61-00,"Wärmezähler 10m3/h, DN40, 300 mm"
UH50-A61-OF,"Wärmezähler 10m3/h, DN40, 300 mm"
UH50-A63-OF,"Wärmezähler 10m3/h, 2"", 200 mm"
UH50-A65-00,"Wärmezähler 15m3/h, DN50, 270 mm"
UH50-A65-OF,"Wärmezähler 15m3/h, DN50, 270 mm"
UH50-A69-OF,"Wärmezähler 15m3/h, DN50, 200 mm"
UH50-A70-00,"Wärmezähler 25m3/h, DN65, 300 mm"
UH50-A70-OF,"Wärmezähler 25m3/h, DN65, 300 mm"
UH50-A74-00,"Wärmezähler 40m3/h, DN80, 300 mm"
UH50-A74-OF,"Wärmezähler 40m3/h, DN80, 300 mm"
UH50-A83-00,"Wärmezähler 60m3/h, DN100, 360 mm"
UH50-A83-OF,"Wärmezähler 60m3/h, DN100, 360 mm"
UH50-AA4-00,"Rechenwerk Wärme, 150m3/h, PN25"
UH50-C05-00,"Kombizähler 0.6m3/h, 3/4'', 110mm"
UH50-C21-00,"Kombizähler 1.5m3/h, 3/4"", 110 mm"
UH50-C38-00,"Kombizähler 2.5m3/h, 1'', 190 mm"
UH50-C45-00,"Kombizähler 3.5m3/h, 11/4"", 260 mm"
UH50-C50-00,"Kombizähler 6.0m3/h, 11/4"", 260 mm"
UH50-C61-00,"Kombizähler 10m3/h, DN40, 300 mm"
UH50-C65-00,"Kombizähler 15m3/h, DN50, 270 mm"
UH50-C70-00,"Kombizähler 25m3/h, DN65, 300 mm"
UH50-C74-00,"Kombizähler 40m3/h, DN80, 300 mm"
UH50-C83-00,"Kombizähler 60m3/h, DN100, 360 mm"
UH50-G21-00,"Kältezähler 1.5m3/h, 3/4'', 110 mm"
UH50-G21-OF,"Kältezähler 1.5m3/h, 3/4"
UH50-G23-00,"Kältezähler 1.5m3/h, 1"", 190 mm"
UH50-G23-OF,"Kältezähler 1.5m3/h, 1"
UH50-G24-OF,"Kältezähler 1.5m3/h, 1"
UH50-G36-OF,"Kältezähler 2.5m3/h, 1"
UH50-G38-00,"Kältezähler 2.5m3/h, 1"", 190 mm"
UH50-G38-OF,"Kältezähler 2.5m3/h, 1"
UH50-G39-OF,"Kältezähler 2.5m3/h, DN20, 190 mm"
UH50-G45-00,"Kältezähler 3.5m3/h, 11/4"", 260 mm"
UH50-G45-OF,"Kältezähler 3.5m3/h, 11/4"
UH50-G46-OF,"Kältezähler 3.5m3/h, DN25, 260 mm"
UH50-G50-00,"Kältezähler 6.0m3/h, 11/4"", 260 mm"
UH50-G50-OF,"Kältezähler 6m3/h, 11/4"
UH50-G52-OF,"Kältezähler 6m3/h, DN25, 260 mm"
UH50-G55-OF,"Kältezähler 6m3/h, 11/4"
UH50-G60-OF,"Kältezähler 10m3/h, 2"", 300 mm"
UH50-G61-00,"Kältezähler 10m3/h, DN40, 300 mm"
UH50-G61-OF,"Kältezähler 10m3/h, DN40, 300 mm"
UH50-G63-OF,"Kältezähler 10m3/h, 2"", 200 mm"
UH50-G65-00,"Kältezähler 15m3/h, DN50, 270 mm"
UH50-G65-OF,"Kältezähler 15m3/h, DN50, 270 mm"
UH50-G69-OF,"Kältezähler 15m3/h, DN50, 200 mm"
UH50-G70-00,"Kältezähler 25m3/h, DN65, 300 mm"
UH50-G70-OF,"Kältezähler 25m3/h, DN65, 300 mm"
UH50-G74-00,"Kältezähler 40m3/h, DN80, 300 mm"
UH50-G74-OF,"Kältezähler 40m3/h, DN80, 300 mm"
UH50-G83-00,"Kältezähler 60m3/h, DN100, 360 mm"
UH50-G83-OF,"Kältezähler 60m3/h, DN100, 360 mm"
UH50-GA4-00,"Rechenwerk Kälte, 150m3/h, PN25"
UH50-ZB,Zusammenbau Zähler Komponenten
UK24EIB,Gateway MP-Bus zu KNX
UK24LON,Gateway MP-Bus zu LonWorks
UK24MOD,Belimo Gateway MP zu Modbus RTU
UPG-10,"Unterputzgehäuse für luna10, schwarz"
UPG-16,Unterputzgehäuse für luna16
UPG-22,Unterputzgehäuse für luna22
USB DONGLE OPC S7,USB Dongle für S7 OPC-Server
USB MODEM ANALOG,USB Modem analog
USBED,"KVM-Verstärker für VGA, Tastatur, Maus ü"
USB-ETHERNET,USB-ETHERNET
USB-IP INDUSTRY SE,"TCP/IP-Ethernet - USB, DIN Montage"
USV1500VA,USV1500VA
USV750VA,PY UPS 750VA/500W Towe
UUKIT,Unigyr Umbaukit
VAG60.15-9,"Absperrkugelhahn, AG, DN15, 9"
VAG60.20-17,"Absperrkugelhahn, AG, DN20, 17"
VAG60.25-22,"Absperrkugelhahn, AG, DN25, 22"
VAG60.32-35,"Absperrkugelhahn, AG, DN32, 35"
VAG60.40-68,"Absperrkugelhahn, AG, DN40, 68"
VAG60.50-96,"Absperrkugelhahn, AG, DN50, 96"
VAG61.15-1,"Durchgangs-Kugelhahn, AG, DN15, 1"
VAG61.15-1.6,"Durchgangs-Kugelhahn, AG, DN15, 1.6"
VAG61.15-2.5,"Durchgangs-Kugelhahn, AG, DN15, 2.5"
VAG61.15-4,"Durchgangs-Kugelhahn, AG, DN15, 4"
VAG61.15-6.3,"Durchgangs-Kugelhahn, AG, DN15, 6.3"
VAG61.20-10,"Durchgangs-Kugelhahn, AG, DN20, 10"
VAG61.20-4,"Durchgangs-Kugelhahn, AG, DN20, 4"
VAG61.20-6.3,"Durchgangs-Kugelhahn, AG, DN20, 6.3"
VAG61.25-10,"Durchgangs-Kugelhahn, AG, DN25, 10"
VAG61.25-16,"Durchgangs-Kugelhahn, AG, DN25, 16"
VAG61.25-6.3,"Durchgangs-Kugelhahn, AG, DN25, 6.3"
VAG61.32-10,"Durchgangs-Kugelhahn, AG, DN32, 10"
VAG61.32-16,"Durchgangs-Kugelhahn, AG, DN32, 16"
VAG61.32-25,"Durchgangs-Kugelhahn, AG, DN32, 25"
VAG61.40-16,"Durchgangs-Kugelhahn, AG, DN40, 16"
VAG61.40-25,"Durchgangs-Kugelhahn, AG, DN40, 25"
VAG61.40-40,"Durchgangs-Kugelhahn, AG, DN40, 40"
VAG61.50-25,"Durchgangs-Kugelhahn, AG, DN50, 25"
VAG61.50-40,"Durchgangs-Kugelhahn, AG, DN50, 40"
VAG61.50-63,"Durchgangs-Kugelhahn, AG, DN50, 63"
VAI60.15-15,"Absperrkugelhahn, IG, DN15"
VAI60.20-22,"Absperrkugelhahn, IG, DN20"
VAI60.25-22,"Absperrkugelhahn, IG, DN25"
VAI60.32-35,"Absperrkugelhahn, IG, DN32"
VAI60.40-68,"Absperrkugelhahn, IG, DN40"
VAI60.50-96,"Absperrkugelhahn, IG, DN50"
VAI61.15-1,"Durchgangs-Kugelhahn, IG, DN15, 1"
VAI61.15-1.6,"Durchgangs-Kugelhahn, IG, DN15, 1.6"
VAI61.15-10,"Durchgangs-Kugelhahn, IG, DN15, 10"
VAI61.15-2.5,"Durchgangs-Kugelhahn, IG, DN15, 2.5"
VAI61.15-4,"Durchgangs-Kugelhahn, IG, DN15, 4"
VAI61.15-6.3,"Durchgangs-Kugelhahn, IG, DN15, 6.3"
VAI61.20-10,"Durchgangs-Kugelhahn, IG, DN20, 10"
VAI61.20-4,"Durchgangs-Kugelhahn, IG, DN20, 4"
VAI61.20-6.3,"Durchgangs-Kugelhahn, IG, DN20, 6.3"
VAI61.25-10,"Durchgangs-Kugelhahn, IG, DN25, 10"
VAI61.25-16,"Durchgangs-Kugelhahn, IG, DN25, 16"
VAI61.25-6.3,"Durchgangs-Kugelhahn, IG, DN25, 6.3"
VAI61.32-10,"Durchgangs-Kugelhahn, IG, DN32, 10"
VAI61.32-16,"Durchgangs-Kugelhahn, IG, DN32, 16"
VAI61.32-25,"Durchgangs-Kugelhahn, IG, DN32, 25"
VAI61.40-16,"Durchgangs-Kugelhahn, IG, DN40, 16"
VAI61.40-25,"Durchgangs-Kugelhahn, IG, DN40, 25"
VAI61.40-40,"Durchgangs-Kugelhahn, IG, DN40, 40"
VAI61.50-25,"Durchgangs-Kugelhahn, IG, DN50, 25"
VAI61.50-40,"Durchgangs-Kugelhahn, IG, DN50, 40"
VAI61.50-63,"Durchgangs-Kugelhahn, IG, DN50, 63"
VBF21.100,"Dreiweghahn, Flansch, PN6, DN100, 160"
VBF21.125,"Dreiweghahn, Flansch, PN6, DN100, 160"
VBF21.150,"Dreiweghahn, Flansch, PN6, DN150, 820"
VBF21.40,"Dreiweghahn, Flansch, PN6, DN40, 25"
VBF21.50,"Dreiweghahn, Flansch, PN6, DN50, 40"
VBF21.65,"Dreiweghahn, Flansch, PN6, DN65, 63"
VBF21.80,"Dreiweghahn, Flansch, PN6, DN125, 100"
VBG60.15-8T,"Umschaltkugelhahn, AG, DN15, 8"
VBG60.20-13T,"Umschaltkugelhahn, AG, DN20, 13"
VBG60.25-13T,"Umschaltkugelhahn, AG, DN25, 13"
VBG60.32-25T,"Umschaltkugelhahn, AG, DN32, 25"
VBG60.40-49T,"Umschaltkugelhahn, AG, DN40, 49"
VBG60.50-73T,"Umschaltkugelhahn, AG, DN50, 73"
VBG61.15-1.6,"Dreiweg-Kugelhahn, AG, DN15, 1.6"
VBG61.15-2.5,"Dreiweg-Kugelhahn, AG, DN15, 2.5"
VBG61.15-4,"Dreiweg-Kugelhahn, AG, DN15, 4"
VBG61.15-6.3,"Dreiweg-Kugelhahn, AG, DN15, 6.3"
VBG61.20-4,"Dreiweg-Kugelhahn, AG, DN20, 4"
VBG61.20-6.3,"Dreiweg-Kugelhahn, AG, DN20, 6.3"
VBG61.25-10,"Dreiweg-Kugelhahn, AG, DN25, 10"
VBG61.32-16,"Dreiweg-Kugelhahn, AG, DN32, 16"
VBG61.40-25,"Dreiweg-Kugelhahn, AG, DN40, 25"
VBG61.50-40,"Dreiweg-Kugelhahn, AG, DN50, 40"
VBI60.15-12T,"Umschaltkugelhahn,IG,DN15,T,12m3/h"
VBI60.15-5L,"Umschaltkugelhahn, IG, DN15"
VBI60.20-16T,"Umschaltkugelhahn,IG,DN20,T,16m3/h"
VBI60.20-9L,"Umschaltkugelhahn, IG, DN20"
VBI60.25-16T,"Umschaltkugelhahn,IG,DN25,T,16m3/h"
VBI60.25-9L,"Umschaltkugelhahn, IG, DN25"
VBI60.32-13L,"Umschaltkugelhahn, IG, DN32"
VBI60.32-25T,"Umschaltkugelhahn,IG,DN32,T,25m3/h"
VBI60.40-25L,"Umschaltkugelhahn, IG, DN40"
VBI60.40-49T,"Umschaltkugelhahn,IG,DN40,T,49m3/h"
VBI60.50-37L,"Umschaltkugelhahn, IG, DN50"
VBI60.50-73T,"Umschaltkugelhahn,IG,DN50,T,73m3/h"
VBI61.15-1.6,"Dreiweg-Regelkugelhahn, IG, DN15, 1.6"
VBI61.15-2.5,"Dreiweg-Regelkugelhahn, IG, DN15, 2.5"
VBI61.15-4,"Dreiweg-Regelkugelhahn, IG, DN15, 4"
VBI61.15-6.3,"Dreiweg-Regelkugelhahn, IG, DN15, 6.3"
VBI61.20-6.3,"Dreiweg-Regelkugelhahn, IG, DN20, 6.3"
VBI61.25-10,"Dreiweg-Regelkugelhahn, IG, DN20, 10"
VBI61.32-16,"Dreiweg-Regelkugelhahn, IG, DN32, 16"
VBI61.40-25,"Dreiweg-Regelkugelhahn, IG, DN40, 25"
VBI61.50-40,"Dreiweg-Regelkugelhahn, IG, DN50, 40"
VBI61.50-63,"Dreiweg-Regelkugelhahn, IG, DN50, 63"
VCI31.20,"Vierweghahn, IG, PN10, DN20, 6.3"
VCI31.25,"Vierweghahn, IG, PN10, DN25, 10"
VCI31.32,"Vierweghahn, IG, PN10, DN32, 16"
VCI31.40,"Vierweghahn, IG, PN10, DN40, 25"
VD115CLC,"Durchgangs-Kleinventil,DIN,15,<1.9m3/h"
VD120CLC,"Durchgangs-Kleinventil,DIN,20,<2.6m3/h"
VD125CLC,"Durchgangs-Kleinventil,DIN,25,<2.6m3/h"
VDN110,"Heizkörper-Durchgangsventil, DN10"
VDN115,"Heizkörper-Durchgangsventil, DN15"
VDN120,"Heizkörper-Durchgangsventil, DN20"
VEN110,"Heizkörper-Eckventil, DN10"
VEN115,"Heizkörper-Eckventil, DN15"
VEN120,"Heizkörper-Eckventil, DN20"
VER-JRG2,"Verschraubung IG 1"" / AG 3/4"""
VER-JRG2,"Verschraubung IG 1"" / AG 3/4"""
VKF41.100,"Drosselklappe, DN100, kvs 760"
VKF41.125,"Drosselklappe, DN125, kvs 1000"
VKF41.150,"Drosselklappe, DN150 kvs 2100"
VKF41.200,"Drosselklappe, DN200, kvs 4000"
VKF41.40,"Drosselklappe, DN40,kvs 50"
VKF41.50,"Drosselklappe, DN50,kvs 80"
VKF41.65,"Drosselklappe, DN65, kvs 200"
VKF41.80,"Drosselklappe, DN80, kvs 400"
VKF46.100,"Drosselklappe, dichtschliessend, DN100"
VKF46.125,"Drosselklappe, dichtschliessend, DN125"
VKF46.150,"Drosselklappe, dichtschliessend, DN150"
VKF46.200,"Drosselklappe, dichtschliessend, DN200"
VKF46.250,"Drosselklappe, dichtschliessend, DN250"
VKF46.300,"Drosselklappe, dichtschliessend, DN300"
VKF46.350,"Drosselklappe, dichtschliessend, DN350"
VKF46.40,"Drosselklappe, dichtschliessend, DN40"
VKF46.400,"Drosselklappe, dichtschliessend, DN400"
VKF46.450,"Drosselklappe, dichtschliessend, DN450"
VKF46.50,"Drosselklappe, dichtschliessend, DN50"
VKF46.500,"Drosselklappe, dichtschliessend, DN500"
VKF46.600,"Drosselklappe, dichtschliessend, DN600"
VKF46.65,"Drosselklappe, dichtschliessend, DN65"
VKF46.80,"Drosselklappe, dichtschliessend, DN80"
VMP45.10-0.25,"Dreiwegventil, Bypass,PN16,DN10,AG, 0.25"
VMP45.10-0.4,"Dreiwegventil, Bypass,PN16,DN10,AG, 0.4"
VMP45.10-0.63,"Dreiwegventil, Bypass,PN16,DN10,AG, 0.63"
VMP45.10-1,"Dreiwegventil, Bypass,PN16,DN10,AG, 1"
VMP45.10-1.6,"Dreiwegventil, Bypass,PN16,DN10,AG, 1.6"
VMP45.15-2.5,"Dreiwegventil, Bypass,PN16,DN15,AG, 2.5"
VMP45.20-4,"Dreiwegventil, Bypass,PN16,DN20,AG, 4"
VMP47.10-0.4,"Dreiwegventil, Bypass,PN16,DN10,AG, 0.4"
VMP47.10-0.63,"Dreiwegventil, Bypass,PN16,DN10,AG, 0.63"
VMP47.10-1,"Dreiwegventil, Bypass,PN16,DN10,AG, 1"
VMP47.10-1.6,"Dreiwegventil, Bypass,PN16,DN10,AG, 1.6"
VMP47.15-2.5,"Dreiwegventil, Bypass,PN16,DN15,AG, 2.5"
VPD110A-145,"MiniCombiVentil, Durchg, DN10, 145 l/h"
VPD110A-45,"MiniCombiVentil, Durchg, DN10, 45 l/h"
VPD110A-90,"MiniCombiVentil, Durchg, DN10, 90 l/h"
VPD115A-145,"MiniCombiVentil, Durchg, DN15, 145 l/h"
VPD115A-45,"MiniCombiVentil, Durchg, DN15, 45 l/h"
VPD115A-90,"MiniCombiVentil, Durchg, DN15, 90 l/h"
VPD115B-200,"MiniCombiVentil, Durchg, DN15, 200 l/h"
VPE110A-145,"MiniCombiVentil, Eck, DN10, 145 l/h"
VPE110A-45,"MiniCombiVentil, Eck, DN10, 45 l/h"
VPE110A-90,"MiniCombiVentil, Eck, DN10, 90 l/h"
VPE110B-200,"MiniCombiVentil, Eck, DN10, 200 l/h"
VPE115A-145,"MiniCombiVentil, Eck, DN15, 145 l/h"
VPE115A-45,"MiniCombiVentil, Eck, DN15, 45 l/h"
VPE115A-90,"MiniCombiVentil, Eck, DN15, 90 l/h"
VPE115B-200,"MiniCombiVentil, Eck, DN15, 200 l/h"
VPF43.100F70,"Kombiventil, Flansch,PN16, DN100, 12-68"
VPF43.100F90,"Kombiventil, Flansch,PN16, DN100, 15-90"
VPF43.125F110,"Kombiventil, Flansch,PN16, DN125, 19-110"
VPF43.125F135,"Kombiventil, Flansch,PN16, DN125, 23-135"
VPF43.150F160,"Kombiventil, Flansch,PN16, DN150, 26-148"
VPF43.150F200,"Kombiventil, Flansch,PN16, DN150, 32-195"
VPF43.200F210,"Kombiventil, Flansch, PN16"
VPF43.200F280,"Kombiventil, Flansch, PN16"
VPF43.50F16,"Kombiventil, Flansch,PN16, DN50,2.3-15"
VPF43.50F25,"Kombiventil, Flansch,PN16, DN50,4.3-25"
VPF43.65F24,"Kombiventil, Flansch,PN16, DN65,4.4-24"
VPF43.65F35,"Kombiventil, Flansch,PN16, DN65,6-35"
VPF43.80F35,"Kombiventil, Flansch,PN16, DN80,5.3-34"
VPF43.80F45,"Kombiventil, Flansch,PN16, DN80,7-43"
VPF53.100F70,"Kombiventil, Flansch,PN25, DN100,12.1-68"
VPF53.100F90,"Kombiventil, Flansch,PN25, DN100,14.8-90"
VPF53.125F110,"Kombiventil, Flansch,PN25,DN125,18.5-110"
VPF53.125F135,"Kombiventil, Flansch,PN25, DN125,23-135"
VPF53.150F160,"Kombiventil, Flansch,PN25,DN150,25.6-148"
VPF53.150F200,"Kombiventil, Flansch,PN25, DN150,32-195"
VPF53.200F210,S55266-V150 /VPF53.200F210 Kombiventil
VPF53.200F280,S55266-V151 /VPF53.200F280 Kombiventil
VPF53.50F16,"Kombiventil, Flansch,PN25, DN50,2.3-15"
VPF53.50F25,"Kombiventil, Flansch,PN25, DN50,4.3-25"
VPF53.65F24,"Kombiventil, Flansch, PN25, DN65,4.4-24"
VPF53.65F35,"Kombiventil, Flansch, PN25, DN65,6-34"
VPF53.80F35,"Kombiventil, Flansch, PN25, DN80,5.3-34"
VPF53.80F45,"Kombiventil, Flansch, PN25, DN80,7-43"
VPI46.15L0.2,"Kombiventil DN15, 30-200 l/h, IG"
VPI46.15L0.2Q,"Kombiventil DN15, 30-200 l/h, IG, P/T"
VPI46.15L0.6,"Kombiventil DN15, 100-575 l/h, IG"
VPI46.15L0.6Q,"Kombiventil DN15, 100-575 l/h, IG, P/T"
VPI46.20F1.4,"Kombiventil DN20, 220-1330 l/h, IG"
VPI46.20F1.4Q,"Kombiventil DN20, 220-1330 l/h, IG, P/T"
VPI46.25F1.8,"Kombiventil DN25, 204-1800 l/h, IG"
VPI46.25F1.8Q,"Kombiventil DN25, 204-1800 l/h, IG, P/T"
VPI46.32F4,"Kombiventil DN32, 450-4001 l/h, IG"
VPI46.32F4Q,"Kombiventil DN32, 450-4001 l/h, IG, P/T"
VPI46.40F9.5Q,"Kombiventil DN40, 1370-9500 l/h, IG, P/T"
VPI46.50F12Q,"Kombiventil DN50, 1400…11500 l/h, IG,P/T"
VPP46.10L0.2,"Kombiventil DN10, 30-200 l/h, AG"
VPP46.10L0.2Q,"Kombiventil DN10, 30-200 l/h, AG, P/T"
VPP46.10L0.4,"Kombiventil DN10,65-370 l/h,AG"
VPP46.10L0.4Q,"Kombiventil DN10,65-370 l/h,AG,P/T"
VPP46.15L0.2,"Kombiventil DN15, 30-200 l/h, AG"
VPP46.15L0.2Q,"Kombiventil DN15, 30-200 l/h, AG, P/T"
VPP46.15L0.6,"Kombiventil DN15, 100-575 l/h, AG"
VPP46.15L0.6Q,"Kombiventil DN15, 100-575 l/h, AG, P/T"
VPP46.20F1.4,"Kombiventil DN20, 220-1330 l/h, AG"
VPP46.20F1.4Q,"Kombiventil DN20, 220-1330 l/h, AG, P/T"
VPP46.25F1.8,"Kombiventil DN25, 204-1800 l/h, AG"
VPP46.25F1.8Q,"Kombiventil DN25, 204-1800 l/h, AG, P/T"
VPP46.32F4,"Kombiventil DN32, 450-4001 l/h, AG"
VPP46.32F4Q,"Kombiventil DN32, 450-4001 l/h, AG, P/T"
VUN210,"Heizkörper-Umkehreckventil, DN10"
VUN215,"Heizkörper-Umkehreckventil, DN15"
VVF22.100-160,"Durchgangsventil,Flansch,PN6,DN100,160"
VVF22.25-10,"Durchgangsventil,Flansch,PN6,DN25,10"
VVF22.25-2.5,"Durchgangsventil,Flansch,PN6,DN25,2.5"
VVF22.25-4,"Durchgangsventil,Flansch,PN6,DN25,4"
VVF22.25-6.3,"Durchgangsventil,Flansch,PN6,DN25,6.3"
VVF22.40-16,"Durchgangsventil,Flansch,PN6,DN40,16"
VVF22.40-25,"Durchgangsventil,Flansch,PN6,DN40,25"
VVF22.50-40,"Durchgangsventil,Flansch,PN6,DN50,40"
VVF22.65-63,"Durchgangsventil,Flansch,PN6,DN65,63"
VVF22.80-100,"Durchgangsventil,Flansch,PN6,DN80,100"
VVF42.100-125,"Durchgangsventil,Flansch,PN16,DN100,125"
VVF42.100-160,"Durchgangsventil,Flansch,PN16,DN100,160"
VVF42.125-200,"Durchgangsventil,Flansch,PN16,DN125,200"
VVF42.125-250,"Durchgangsventil,Flansch,PN16,DN125,250"
VVF42.150-315,"Durchgangsventil,Flansch,PN16,DN150,315"
VVF42.150-400,"Durchgangsventil,Flansch,PN16,DN150,400"
VVF42.15-1.6,"Durchgangsventil,Flansch,PN16,DN15,1.6"
VVF42.15-2.5,"Durchgangsventil,Flansch,PN16,DN15,2.5"
VVF42.15-4,"Durchgangsventil,Flansch,PN16,DN15,4"
VVF42.20-6.3,"Durchgangsventil,Flansch,PN16,DN20,6.3"
VVF42.25-10,"Durchgangsventil,Flansch,PN16,DN25,10"
VVF42.25-6.3,"Durchgangsventil,Flansch,PN16,DN25,6.3"
VVF42.32-16,"Durchgangsventil,Flansch,PN16,DN32,16"
VVF42.40-16,"Durchgangsventil,Flansch,PN16,DN40,16"
VVF42.40-25,"Durchgangsventil,Flansch,PN16,DN40,25"
VVF42.50-31.5,"Durchgangsventil,Flansch,PN16,DN50,31.5"
VVF42.50-40,"Durchgangsventil,Flansch,PN16,DN50,40"
VVF42.65-50,"Durchgangsventil,Flansch,PN16,DN65,50"
VVF42.65-63,"Durchgangsventil,Flansch,PN16,DN65.63"
VVF42.80-100,"Durchgangsventil,Flansch,PN16,DN80,100"
VVF42.80-80,"Durchgangsventil,Flansch,PN16,DN80,80"
VVF43.100-125,"Durchgangsventil,Flansch,PN16,DN100,125"
VVF43.100-150K,"Durchgangsv,Flansch,PN16,DN100,150,komp."
VVF43.100-160,"Durchgangsventil,Flansch,PN16,DN100,160"
VVF43.125-200,"Durchgangsventil,Flansch,PN16,DN125,200"
VVF43.125-220K,"Durchgangsv,Flansch,PN16,DN125,220,komp."
VVF43.125-250,"Durchgangsventil,Flansch,PN16,DN125,250"
VVF43.150-315K,"Durchgangsv,Flansch,PN16,DN150,315,komp."
VVF43.150-400,"Durchgangsventil,Flansch,PN16,DN150,400"
VVF43.200-450K,"Durchgangsv,Flansch,PN16,DN200,450,komp."
VVF43.250-630K,"Durchgangsv,Flansch,PN16,DN250,630,komp."
VVF43.65-50,"Durchgangsventil,Flansch,PN16,DN65,50"
VVF43.65-63,"Durchgangsventil,Flansch,PN16,DN65.63"
VVF43.65-63K,"Durchgangsv,Flansch,PN16,DN65,63,komp."
VVF43.80-100,"Durchgangsventil,Flansch,PN16,DN80,100"
VVF43.80-100K,"Durchgangsv,Flansch,PN16,DN80,100,komp."
VVF43.80-80,"Durchgangsventil,Flansch,PN16,DN80,80"
VVF53.100-150K,"Durchgangsv,Flansch,PN25,DN100,150,komp."
VVF53.100-160,"Durchgangsventil,Flansch,PN25,DN100,160"
VVF53.125-220K,"Durchgangsv,Flansch,PN25,DN125,220,komp."
VVF53.125-250,"Durchgangsventil,Flansch,PN25,DN125.250"
VVF53.15-0.2,"Durchgangsventil,Flansch,PN25,DN15,0.2"
VVF53.15-0.25,"Durchgangsventil,Flansch,PN25,DN15,0.25"
VVF53.15-0.32,"Durchgangsventil,Flansch,PN25,DN15,0.32"
VVF53.15-0.4,"Durchgangsventil,Flansch,PN25,DN15,0.4"
VVF53.15-0.5,"Durchgangsventil,Flansch,PN25,DN15,0.5"
VVF53.15-0.63,"Durchgangsventil,Flansch,PN25,DN15,0.63"
